experiment,property,metric,value
Exp-2_stress_aware_rock_physics,VpVs,corr_with_pore_pressure_MPa,-0.43861981914483034
Exp-2_stress_aware_rock_physics,VpVs,corr_with_vertical_stress_Sv_MPa,-0.43861982375427616
Exp-2_stress_aware_rock_physics,VpVs,corr_with_effective_pressure_physical_MPa,-0.4386198300323157
Exp-2_stress_aware_rock_physics,VpVs,corr_with_overpressure_ratio,-0.06479499088005203
Exp-2_stress_aware_rock_physics,VpVs,corr_with_effective_pressure_ratio,0.04109248015456305
Exp-2_stress_minus_baseline,Vp,mean_abs_difference,2.3217687606811523
Exp-2_stress_minus_baseline,Vp,rms_difference,3.0100722312927246
Exp-2_stress_minus_baseline,Vs,mean_abs_difference,2.1445226669311523
Exp-2_stress_minus_baseline,Vs,rms_difference,2.7689082622528076
Exp-2_stress_minus_baseline,density,mean_abs_difference,0.0
Exp-2_stress_minus_baseline,density,rms_difference,0.0
Exp-2_stress_minus_baseline,AI,mean_abs_difference,5.85148286819458
Exp-2_stress_minus_baseline,AI,rms_difference,7.565804958343506
Exp-2_stress_minus_baseline,VpVs,mean_abs_difference,0.0007050046697258949
Exp-2_stress_minus_baseline,VpVs,rms_difference,0.0008988924673758447
Exp-2_stress_aware_rock_physics,runtime,seconds,1.7832885924726725
Exp-3_no_stress_seismic_soft_data,poststack_seismic,mean,-0.004990162793546915
Exp-3_no_stress_seismic_soft_data,poststack_seismic,std,0.037885893136262894
Exp-3_no_stress_seismic_soft_data,poststack_seismic,p10,-0.05261582136154175
Exp-3_no_stress_seismic_soft_data,poststack_seismic,p50,-0.005112804006785154
Exp-3_no_stress_seismic_soft_data,poststack_seismic,p90,0.0428662970662117
Exp-3_no_stress_seismic_soft_data,poststack_seismic,facies_separability_fisher,0.027131496823925485
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_porosity,-0.0732550763366365
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_oil_saturation,0.056254380325334634
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_brittleness_index,-0.056739824186168415
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_permeability,-0.09338410756701687
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_gamma,0.09965517269730172
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_stress,0.14049081795763604
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_SH1,-0.02759854157915676
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_SH2,-0.07416099186608718
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_stress_MPa,0.14049081795763604
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_mean_stress_proxy,-0.053055949428237686
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_differential_stress,0.08586024822823399
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_stress_ratio,0.0962851566527971
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_stress_anisotropy_index,0.09653777238427261
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_pore_pressure_MPa,-0.23583994629460658
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_vertical_stress_Sv_MPa,-0.23583994612831552
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_effective_pressure_physical_MPa,-0.23583995590792775
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_overpressure_ratio,-0.023689375134329824
Exp-3_no_stress_seismic_soft_data,poststack_seismic,corr_with_effective_pressure_ratio,-0.007024502778259509
Exp-3_no_stress_seismic_soft_data,AVO_intercept,mean,-0.0008689246024005115
Exp-3_no_stress_seismic_soft_data,AVO_intercept,std,0.018600396811962128
Exp-3_no_stress_seismic_soft_data,AVO_intercept,p10,0.0
Exp-3_no_stress_seismic_soft_data,AVO_intercept,p50,0.0
Exp-3_no_stress_seismic_soft_data,AVO_intercept,p90,0.0
Exp-3_no_stress_seismic_soft_data,AVO_intercept,facies_separability_fisher,0.003305941790955353
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_porosity,0.1515881446870011
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_oil_saturation,0.08787128955544296
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_brittleness_index,-0.002239794569441394
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_permeability,0.013027847648351357
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_gamma,-0.12287244709597989
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_stress,-0.0985758995239761
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_SH1,0.012699150987631384
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_SH2,-0.009336507307144953
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_stress_MPa,-0.0985758995239761
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_mean_stress_proxy,0.001681092887786923
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_differential_stress,0.040080780072513075
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_stress_ratio,0.03780358125678581
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_stress_anisotropy_index,0.037853791620719925
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_pore_pressure_MPa,-0.02361814430853913
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_vertical_stress_Sv_MPa,-0.023618143129964173
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_effective_pressure_physical_MPa,-0.023618143796598583
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_overpressure_ratio,0.0036118750187269784
Exp-3_no_stress_seismic_soft_data,AVO_intercept,corr_with_effective_pressure_ratio,0.008186181756754079
Exp-3_no_stress_seismic_soft_data,AVO_gradient,mean,-0.00016710777708794922
Exp-3_no_stress_seismic_soft_data,AVO_gradient,std,0.04254436865448952
Exp-3_no_stress_seismic_soft_data,AVO_gradient,p10,0.0
Exp-3_no_stress_seismic_soft_data,AVO_gradient,p50,0.0
Exp-3_no_stress_seismic_soft_data,AVO_gradient,p90,0.0
Exp-3_no_stress_seismic_soft_data,AVO_gradient,facies_separability_fisher,0.03186728946192685
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_porosity,-0.02987646403293039
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_oil_saturation,-0.0014574186471607528
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_brittleness_index,0.007977398191785721
Exp-3_no_stress_seismic_soft_data,AVO_gradient,corr_with_permeability,-0.011012971736100755
